RefSeq ID	FOXA2	HNF1A	HNF4A	HNF6	CREB1	USF1
NM_018216	0	0	0	0	0	0
NM_003820	0	0	0	0	0	0
NM_152371	0	0	0	0	0	0
NM_080431	0	0	0	0	0	0
NM_199454	0	0	1	0	0	0
NM_014448	0	0	1	0	0	0
NM_182752	0	0	0	0	1	0
NM_005427	0	0	0	0	0	0
NM_017818	0	0	0	0	0	0
NM_207306	0	0	0	0	0	0
NM_020710	0	0	0	0	0	0
NM_004402	0	0	0	0	0	0
NM_207356	0	0	1	0	0	0
NM_018836	0	0	0	0	0	0
NM_015102	0	0	0	0	0	0
NM_172130	0	0	0	0	0	0
NM_015557	0	0	0	0	0	0
NM_000983	0	0	1	0	0	0
NM_173795	0	0	1	0	0	0
NM_153709	0	0	0	0	0	0
NM_207370	0	0	0	0	0	0
NM_181863	0	0	0	0	0	0
NM_031475	1	0	0	0	0	0
NM_148974	0	0	0	0	0	0
NM_198681	0	0	0	0	0	0
